id,name,X2019,TRACTCE,BLKGRPCE,TRACT-BG,City,City2,Hood
1500000US060730014002,"Block Group 2, Census Tract 14, San Diego County, California",658,1400,2,1400-2,San Diego,San Diego,North Park
1500000US060730014003,"Block Group 3, Census Tract 14, San Diego County, California",2274,1400,3,1400-3,San Diego,San Diego,North Park
1500000US060730015001,"Block Group 1, Census Tract 15, San Diego County, California",1209,1500,1,1500-1,San Diego,San Diego,North Park
1500000US060730015002,"Block Group 2, Census Tract 15, San Diego County, California",1002,1500,2,1500-2,San Diego,San Diego,North Park
1500000US060730015003,"Block Group 3, Census Tract 15, San Diego County, California",791,1500,3,1500-3,San Diego,San Diego,North Park
1500000US060730015004,"Block Group 4, Census Tract 15, San Diego County, California",825,1500,4,1500-4,San Diego,San Diego,North Park
1500000US060730016001,"Block Group 1, Census Tract 16, San Diego County, California",1960,1600,1,1600-1,San Diego,San Diego,North Park/Corridor
1500000US060730016002,"Block Group 2, Census Tract 16, San Diego County, California",1961,1600,2,1600-2,San Diego,San Diego,North Park/Corridor
1500000US060730016003,"Block Group 3, Census Tract 16, San Diego County, California",705,1600,3,1600-3,San Diego,San Diego,North Park/Corridor
1500000US060730016004,"Block Group 4, Census Tract 16, San Diego County, California",1195,1600,4,1600-4,San Diego,San Diego,North Park/Corridor
1500000US060730017001,"Block Group 1, Census Tract 17, San Diego County, California",1765,1700,1,1700-1,San Diego,San Diego,Normal Heights
1500000US060730017002,"Block Group 2, Census Tract 17, San Diego County, California",1179,1700,2,1700-2,San Diego,San Diego,Normal Heights
1500000US060730017003,"Block Group 3, Census Tract 17, San Diego County, California",1032,1700,3,1700-3,San Diego,San Diego,Normal Heights
1500000US060730017004,"Block Group 4, Census Tract 17, San Diego County, California",472,1700,4,1700-4,San Diego,San Diego,Normal Heights
1500000US060730018001,"Block Group 1, Census Tract 18, San Diego County, California",807,1800,1,1800-1,San Diego,San Diego,Normal Heights/Adams North
1500000US060730018002,"Block Group 2, Census Tract 18, San Diego County, California",1433,1800,2,1800-2,San Diego,San Diego,Normal Heights/Adams North
1500000US060730018003,"Block Group 3, Census Tract 18, San Diego County, California",818,1800,3,1800-3,San Diego,San Diego,Normal Heights/Adams North
1500000US060730018004,"Block Group 4, Census Tract 18, San Diego County, California",737,1800,4,1800-4,San Diego,San Diego,Normal Heights/Adams North
1500000US060730018005,"Block Group 5, Census Tract 18, San Diego County, California",803,1800,5,1800-5,San Diego,San Diego,Normal Heights/Adams North
1500000US060730018006,"Block Group 6, Census Tract 18, San Diego County, California",819,1800,6,1800-6,San Diego,San Diego,Normal Heights/Adams North
1500000US060730019001,"Block Group 1, Census Tract 19, San Diego County, California",1215,1900,1,1900-1,San Diego,San Diego,Adams North
1500000US060730019002,"Block Group 2, Census Tract 19, San Diego County, California",1550,1900,2,1900-2,San Diego,San Diego,Adams North
1500000US060730019003,"Block Group 3, Census Tract 19, San Diego County, California",506,1900,3,1900-3,San Diego,San Diego,Adams North
1500000US060730020011,"Block Group 1, Census Tract 20.01, San Diego County, California",851,2001,1,2001-1,San Diego,San Diego,Grantville/Kensington
1500000US060730020012,"Block Group 2, Census Tract 20.01, San Diego County, California",1567,2001,2,2001-2,San Diego,San Diego,Grantville/Kensington
1500000US060730020013,"Block Group 3, Census Tract 20.01, San Diego County, California",888,2001,3,2001-3,San Diego,San Diego,Grantville/Kensington
1500000US060730020021,"Block Group 1, Census Tract 20.02, San Diego County, California",1011,2002,1,2002-1,San Diego,San Diego,Talmadge
1500000US060730020022,"Block Group 2, Census Tract 20.02, San Diego County, California",1599,2002,2,2002-2,San Diego,San Diego,Talmadge
1500000US060730021001,"Block Group 1, Census Tract 21, San Diego County, California",1555,2100,1,2100-1,San Diego,San Diego,Normal Heights/Kensington
1500000US060730021002,"Block Group 2, Census Tract 21, San Diego County, California",762,2100,2,2100-2,San Diego,San Diego,Normal Heights/Kensington
1500000US060730021003,"Block Group 3, Census Tract 21, San Diego County, California",591,2100,3,2100-3,San Diego,San Diego,Normal Heights/Kensington
1500000US060730021004,"Block Group 4, Census Tract 21, San Diego County, California",1022,2100,4,2100-4,San Diego,San Diego,Normal Heights/Kensington
1500000US060730021005,"Block Group 5, Census Tract 21, San Diego County, California",1541,2100,5,2100-5,San Diego,San Diego,Normal Heights/Kensington
1500000US060730022011,"Block Group 1, Census Tract 22.01, San Diego County, California",1747,2201,1,2201-1,San Diego,San Diego,Corridor
1500000US060730022012,"Block Group 2, Census Tract 22.01, San Diego County, California",1581,2201,2,2201-2,San Diego,San Diego,Corridor
1500000US060730022021,"Block Group 1, Census Tract 22.02, San Diego County, California",1926,2202,1,2202-1,San Diego,San Diego,Teralta West
1500000US060730022022,"Block Group 2, Census Tract 22.02, San Diego County, California",2305,2202,2,2202-2,San Diego,San Diego,Teralta West
1500000US060730022023,"Block Group 3, Census Tract 22.02, San Diego County, California",1246,2202,3,2202-3,San Diego,San Diego,Teralta West
1500000US060730023011,"Block Group 1, Census Tract 23.01, San Diego County, California",1400,2301,1,2301-1,San Diego,San Diego,Talmadge
1500000US060730023012,"Block Group 2, Census Tract 23.01, San Diego County, California",938,2301,2,2301-2,San Diego,San Diego,Talmadge
1500000US060730023013,"Block Group 3, Census Tract 23.01, San Diego County, California",735,2301,3,2301-3,San Diego,San Diego,Talmadge
1500000US060730023021,"Block Group 1, Census Tract 23.02, San Diego County, California",2487,2302,1,2302-1,San Diego,San Diego,Teralta East
1500000US060730023022,"Block Group 2, Census Tract 23.02, San Diego County, California",2831,2302,2,2302-2,San Diego,San Diego,Teralta East
1500000US060730023023,"Block Group 3, Census Tract 23.02, San Diego County, California",1982,2302,3,2302-3,San Diego,San Diego,Teralta East
1500000US060730024011,"Block Group 1, Census Tract 24.01, San Diego County, California",1470,2401,1,2401-1,San Diego,San Diego,Cherokee Point
1500000US060730024012,"Block Group 2, Census Tract 24.01, San Diego County, California",1529,2401,2,2401-2,San Diego,San Diego,Cherokee Point
1500000US060730024013,"Block Group 3, Census Tract 24.01, San Diego County, California",1792,2401,3,2401-3,San Diego,San Diego,Cherokee Point
1500000US060730024021,"Block Group 1, Census Tract 24.02, San Diego County, California",2804,2402,1,2402-1,San Diego,San Diego,Castle
1500000US060730024022,"Block Group 2, Census Tract 24.02, San Diego County, California",2385,2402,2,2402-2,San Diego,San Diego,Castle
1500000US060730025011,"Block Group 1, Census Tract 25.01, San Diego County, California",2026,2501,1,2501-1,San Diego,San Diego,Castle/Cherokee Point
1500000US060730025012,"Block Group 2, Census Tract 25.01, San Diego County, California",1537,2501,2,2501-2,San Diego,San Diego,Castle/Cherokee Point
1500000US060730025013,"Block Group 3, Census Tract 25.01, San Diego County, California",1843,2501,3,2501-3,San Diego,San Diego,Castle/Cherokee Point
1500000US060730025021,"Block Group 1, Census Tract 25.02, San Diego County, California",2711,2502,1,2502-1,San Diego,San Diego,Azalea/Hollywood Park/Fairmont Park
